"recording_givid";"location_code";"layer_code";"cover_code"
"IV2017011215184680";"Uitkerke";"K";"95"
"IV2017011215184680";"Uitkerke";"NB";"5"
"IV2017011215302636";"Uitkerke";"K";"60"
"IV2017011215302636";"Uitkerke";"MO";"1"
"IV2017011215302636";"Uitkerke";"NB";"40"
"IV2017011215475751";"Uitkerke";"K";"20"
"IV2017011215475751";"Uitkerke";"NB";"80"
"IV2017011215545335";"Ettelgem";"K";"70"
"IV2017011215545335";"Ettelgem";"NB";"30"
"IV2017011216070022";"Ettelgem";"K";"70"
"IV2017011216070022";"Ettelgem";"NB";"30"
"IV2017011312251730";"Maasmechelen (F)";"B";"4"
"IV2017011312251730";"Maasmechelen (F)";"K";"90"
"IV2017011312251730";"Maasmechelen (F)";"MO";"20"
"IV2017011312251730";"Maasmechelen (F)";"NB";"2"
"IV2017011312251730";"Maasmechelen (F)";"STR";"5"
"IV2017011812094287";"Maasmechelen (F)";"K";"90"
"IV2017011812094287";"Maasmechelen (F)";"MO";"20"
"IV2017011812094287";"Maasmechelen (F)";"NB";"2"
"IV2017011812094287";"Maasmechelen (F)";"STR";"5"
"IV2017011813083530";"Maasmechelen (F)";"K";"80"
"IV2017011813083530";"Maasmechelen (F)";"MO";"90"
"IV2017011813083530";"Maasmechelen (F)";"NB";"2"
"IV2017011813083530";"Maasmechelen (F)";"STR";"1"
"IV2017011813535331";"Maasmechelen (F)";"K";"85"
"IV2017011813535331";"Maasmechelen (F)";"MO";"85"
"IV2017011813535331";"Maasmechelen (F)";"STR";"1"
"IV2017011814163232";"Maasmechelen (F)";"K";"80"
"IV2017011814163232";"Maasmechelen (F)";"MO";"70"
"IV2017011814163232";"Maasmechelen (F)";"NB";"25"
"IV2017011814163232";"Maasmechelen (F)";"S";"1"
"IV2017011814163232";"Maasmechelen (F)";"STR";"5"
"IV2017011816230130";"Maasmechelen (F)";"K";"85"
"IV2017011816230130";"Maasmechelen (F)";"MO";"75"
"IV2017011816230130";"Maasmechelen (F)";"NB";"1"
"IV2017011816230130";"Maasmechelen (F)";"STR";"5"
"IV2017011816484258";"Houthalen-Helchteren";"B";"3"
"IV2017011816484258";"Houthalen-Helchteren";"K";"98"
"IV2017011816484258";"Houthalen-Helchteren";"MO";"4"
"IV2017011816484258";"Houthalen-Helchteren";"STR";"3"
"IV2017011817212208";"Houthalen-Helchteren";"K";"97"
"IV2017011817212208";"Houthalen-Helchteren";"MO";"2"
"IV2017011817212208";"Houthalen-Helchteren";"STR";"2"
"IV2017011915010675";"Hasselt (F)";"K";"80"
"IV2017011915010675";"Hasselt (F)";"MO";"50"
"IV2017011916185487";"Hasselt (F)";"K";"90"
"IV2017011916185487";"Hasselt (F)";"MO";"80"
"IV2017011916524752";"Houthalen-Helchteren";"K";"99"
"IV2017011916524752";"Houthalen-Helchteren";"MO";"3"
"IV2017011916524752";"Houthalen-Helchteren";"NB";"1"
"IV2017011919322195";"Houthalen-Helchteren";"K";"100"
"IV2017011919322195";"Houthalen-Helchteren";"MO";"3"
"IV2017012010235498";"Turnhout (F)";"K";"60"
"IV2017012010235498";"Turnhout (F)";"MO";"90"
"IV2017012011231757";"Turnhout (F)";"K";"60"
"IV2017012011231757";"Turnhout (F)";"MO";"90"
"IV2017012012273378";"Oostmalle";"K";"60"
"IV2017012012273378";"Oostmalle";"MO";"80"
"IV2017012012433410";"Oostmalle";"K";"60"
"IV2017012012433410";"Oostmalle";"MO";"80"
"IV2017012013020416";"Oostmalle";"K";"80"
"IV2017012013020416";"Oostmalle";"MO";"20"
"IV2017012013095674";"Oostmalle";"K";"80"
"IV2017012013095674";"Oostmalle";"MO";"20"
"IV2017012013475483";"Oostmalle";"K";"80"
"IV2017012013475483";"Oostmalle";"MO";"50"
"IV2017012013475483";"Oostmalle";"NB";"10"
"IV2017012013585970";"Oostmalle";"K";"80"
"IV2017012013585970";"Oostmalle";"MO";"50"
"IV2017012013585970";"Oostmalle";"NB";"5"
"IV2017012015481765";"Beernem (F)";"K";"90"
"IV2017012015481765";"Beernem (F)";"MO";"90"
"IV2017012016215306";"Beernem (F)";"K";"90"
"IV2017012016215306";"Beernem (F)";"MO";"90"
"IV2017012016374726";"Kemzeke";"K";"70"
"IV2017012016374726";"Kemzeke";"MO";"80"
"IV2017012016550624";"Kemzeke";"K";"70"
"IV2017012016550624";"Kemzeke";"MO";"80"
"IV2017012017101191";"Ravels (F)";"K";"80"
"IV2017012017101191";"Ravels (F)";"MO";"80"
"IV2017012017312649";"Ravels (F)";"K";"80"
"IV2017012017312649";"Ravels (F)";"MO";"80"
"IV2017012312301685";"Houthalen-Helchteren";"K";"97"
"IV2017012312301685";"Houthalen-Helchteren";"MO";"1"
"IV2017012312301685";"Houthalen-Helchteren";"NB";"3"
"IV2017012312301685";"Houthalen-Helchteren";"S";"1"
"IV2017012312531726";"Houthalen-Helchteren";"K";"98"
"IV2017012312531726";"Houthalen-Helchteren";"MO";"1"
"IV2017012312531726";"Houthalen-Helchteren";"NB";"2"
"IV2017012521020429";"Houthalen-Helchteren";"K";"100"
"IV2017012521104081";"Houthalen-Helchteren";"K";"100"
"IV2017012522043706";"Houthalen-Helchteren";"K";"98"
"IV2017012522043706";"Houthalen-Helchteren";"MO";"5"
"IV2017012522043706";"Houthalen-Helchteren";"NB";"1"
"IV2017012522043706";"Houthalen-Helchteren";"STR";"5"
"IV2017012522232265";"Houthalen-Helchteren";"K";"98"
"IV2017012522232265";"Houthalen-Helchteren";"MO";"5"
"IV2017012522232265";"Houthalen-Helchteren";"NB";"2"
"IV2017012522232265";"Houthalen-Helchteren";"STR";"25"
"IV2017012611170830";"Houthalen-Helchteren";"K";"100"
"IV2017012611170830";"Houthalen-Helchteren";"MO";"0-x-1"
"IV2017012611360478";"Houthalen-Helchteren";"K";"100"
"IV2017012611360478";"Houthalen-Helchteren";"MO";"0-x-1"
"IV2017012612213288";"Olmen";"B";"2"
"IV2017012612213288";"Olmen";"K";"100"
"IV2017012612213288";"Olmen";"MO";"2"
"IV2017012612213288";"Olmen";"S";"8"
"IV2017012612213288";"Olmen";"STR";"30"
"IV2017012613001528";"Houthalen-Helchteren";"K";"100"
"IV2017012613001528";"Houthalen-Helchteren";"MO";"60"
"IV2017012613110316";"Olmen";"K";"100"
"IV2017012613110316";"Olmen";"MO";"1"
"IV2017012613110316";"Olmen";"STR";"40"
"IV2017012613170767";"Houthalen-Helchteren";"K";"100"
"IV2017012613170767";"Houthalen-Helchteren";"MO";"50"
"IV2017012613411763";"Houthalen-Helchteren";"K";"98"
"IV2017012613411763";"Houthalen-Helchteren";"MO";"3"
"IV2017012613411763";"Houthalen-Helchteren";"STR";"3"
"IV2017012613530004";"Houthalen-Helchteren";"K";"98"
"IV2017012613530004";"Houthalen-Helchteren";"MO";"3"
"IV2017012613530004";"Houthalen-Helchteren";"NB";"1"
"IV2017012613530004";"Houthalen-Helchteren";"STR";"3"
"IV2017012615432844";"Tielt-Winge";"K";"100"
"IV2017012615432844";"Tielt-Winge";"MO";"15"
"IV2017012620054742";"Tielt-Winge";"K";"100"
"IV2017012620054742";"Tielt-Winge";"MO";"15"
"IV2017012620463014";"Tielt-Winge";"B";"1"
"IV2017012620463014";"Tielt-Winge";"K";"100"
"IV2017012620463014";"Tielt-Winge";"MO";"60"
"IV2017012620463014";"Tielt-Winge";"S";"1"
"IV2017012620573892";"Tielt-Winge";"K";"100"
"IV2017012620573892";"Tielt-Winge";"MO";"60"
"IV2017012620573892";"Tielt-Winge";"S";"1"
"IV2017012709211647";"Zandvoorde (Zonnebeke)";"K";"60"
"IV2017012709211647";"Zandvoorde (Zonnebeke)";"MO";"60"
"IV2017012709211647";"Zandvoorde (Zonnebeke)";"NB";"10"
"IV2017012709211647";"Zandvoorde (Zonnebeke)";"STR";"5"
"IV2017012709294069";"Zandvoorde (Zonnebeke)";"K";"40"
"IV2017012709294069";"Zandvoorde (Zonnebeke)";"MO";"80"
"IV2017012709294069";"Zandvoorde (Zonnebeke)";"NB";"5"
"IV2017012709294069";"Zandvoorde (Zonnebeke)";"STR";"5"
"IV2017012709434540";"Oud-Turnhout (F)";"K";"95"
"IV2017012709434540";"Oud-Turnhout (F)";"MO";"75"
"IV2017012710254898";"Oud-Turnhout (F)";"K";"95"
"IV2017012710254898";"Oud-Turnhout (F)";"MO";"75"
"IV2017012711062779";"Oud-Turnhout (F)";"K";"80"
"IV2017012711062779";"Oud-Turnhout (F)";"MO";"95"
"IV2017012711193298";"Oud-Turnhout (F)";"K";"80"
"IV2017012711193298";"Oud-Turnhout (F)";"MO";"95"
"IV2017012711292443";"Oud-Turnhout (F)";"K";"80"
"IV2017012711292443";"Oud-Turnhout (F)";"MO";"70"
"IV2017012711431363";"Oud-Turnhout (F)";"K";"80"
"IV2017012711431363";"Oud-Turnhout (F)";"MO";"70"
"IV2017012712420281";"Wingene (F)";"B";"70"
"IV2017012712420281";"Wingene (F)";"K";"50"
"IV2017012712420281";"Wingene (F)";"MO";"90"
"IV2017012712420281";"Wingene (F)";"S";"40"
"IV2017012713022515";"Wingene (F)";"B";"70"
"IV2017012713022515";"Wingene (F)";"K";"50"
"IV2017012713022515";"Wingene (F)";"MO";"90"
"IV2017012713261758";"Kasterlee (F)";"B";"30"
"IV2017012713261758";"Kasterlee (F)";"K";"70"
"IV2017012713261758";"Kasterlee (F)";"MO";"70"
"IV2017012713261758";"Kasterlee (F)";"NB";"10"
"IV2017012714021766";"Kasterlee (F)";"K";"70"
"IV2017012714021766";"Kasterlee (F)";"MO";"70"
"IV2017012714021766";"Kasterlee (F)";"NB";"10"
"IV2017012714260737";"Tielen";"K";"100"
"IV2017012714260737";"Tielen";"MO";"40"
"IV2017012715091042";"Tielen";"K";"100"
"IV2017012715091042";"Tielen";"MO";"40"
"IV2017012715235876";"Baarle-Hertog (F)";"K";"80"
"IV2017012715235876";"Baarle-Hertog (F)";"MO";"80"
"IV2017012715472176";"Baarle-Hertog (F)";"K";"80"
"IV2017012715472176";"Baarle-Hertog (F)";"MO";"80"
"IV2017012716313882";"Ruisbroek (Puurs)";"K";"100"
"IV2017012716313882";"Ruisbroek (Puurs)";"MO";"70"
"IV2017012716564741";"Ruisbroek (Puurs)";"K";"100"
"IV2017012716564741";"Ruisbroek (Puurs)";"MO";"70"
"IV2017013011050597";"Houthalen-Helchteren";"K";"75"
"IV2017013011050597";"Houthalen-Helchteren";"MO";"0"
"IV2017013011050597";"Houthalen-Helchteren";"NB";"20"
"IV2017013011050597";"Houthalen-Helchteren";"STR";"5"
"IV2017013011141972";"Houthalen-Helchteren";"K";"55"
"IV2017013011141972";"Houthalen-Helchteren";"MO";"0-x-1"
"IV2017013011141972";"Houthalen-Helchteren";"NB";"40"
"IV2017013011141972";"Houthalen-Helchteren";"STR";"5"
"IV2017013011553027";"Houthalen-Helchteren";"K";"80"
"IV2017013011553027";"Houthalen-Helchteren";"MO";"10"
"IV2017013011553027";"Houthalen-Helchteren";"NB";"1"
"IV2017013011553027";"Houthalen-Helchteren";"STR";"1"
"IV2017013012265239";"Houthalen-Helchteren";"K";"75"
"IV2017013012265239";"Houthalen-Helchteren";"MO";"40"
"IV2017013013060304";"Houthalen-Helchteren";"K";"90"
"IV2017013013060304";"Houthalen-Helchteren";"MO";"3"
"IV2017013013060304";"Houthalen-Helchteren";"NB";"5"
"IV2017013013060304";"Houthalen-Helchteren";"STR";"2"
"IV2017013013143717";"Houthalen-Helchteren";"K";"92"
"IV2017013013143717";"Houthalen-Helchteren";"MO";"1"
"IV2017013013143717";"Houthalen-Helchteren";"NB";"5"
"IV2017013013143717";"Houthalen-Helchteren";"STR";"1"
"IV2017013013460448";"Maasmechelen (F)";"K";"90"
"IV2017013013460448";"Maasmechelen (F)";"MO";"15"
"IV2017013013460448";"Maasmechelen (F)";"NB";"1"
"IV2017013013460448";"Maasmechelen (F)";"S";"2"
"IV2017013013460448";"Maasmechelen (F)";"STR";"1"
"IV2017013015085454";"Maasmechelen (F)";"K";"99"
"IV2017013015085454";"Maasmechelen (F)";"MO";"5"
"IV2017013015085454";"Maasmechelen (F)";"S";"1"
"IV2017013015545827";"Maasmechelen (F)";"K";"95"
"IV2017013015545827";"Maasmechelen (F)";"MO";"15"
"IV2017013015545827";"Maasmechelen (F)";"NB";"1"
"IV2017013015545827";"Maasmechelen (F)";"S";"2"
"IV2017013015545827";"Maasmechelen (F)";"STR";"3"
"IV2017013016040477";"Maasmechelen (F)";"K";"97"
"IV2017013016040477";"Maasmechelen (F)";"MO";"35"
"IV2017013016040477";"Maasmechelen (F)";"NB";"1"
"IV2017013016040477";"Maasmechelen (F)";"STR";"1"
"IV2017013110020007";"Zutendaal (F)";"K";"95"
"IV2017013110020007";"Zutendaal (F)";"MO";"15"
"IV2017013110020007";"Zutendaal (F)";"NB";"2"
"IV2017013110020007";"Zutendaal (F)";"S";"3"
"IV2017020111393906";"Zutendaal (F)";"K";"95"
"IV2017020111393906";"Zutendaal (F)";"MO";"10"
"IV2017020111393906";"Zutendaal (F)";"NB";"2"
"IV2017020111393906";"Zutendaal (F)";"S";"5"
"IV2017020116071546";"Tielt-Winge";"K";"100"
"IV2017020116071546";"Tielt-Winge";"MO";"2"
"IV2017020116071546";"Tielt-Winge";"S";"3"
"IV2017020116071546";"Tielt-Winge";"STR";"5"
"IV2017020120160542";"Tielt-Winge";"K";"100"
"IV2017020120160542";"Tielt-Winge";"MO";"2"
"IV2017020120160542";"Tielt-Winge";"STR";"1"
"IV2017020121010797";"Tielt-Winge";"K";"98"
"IV2017020121010797";"Tielt-Winge";"MO";"4"
"IV2017020121010797";"Tielt-Winge";"NB";"3"
"IV2017020121010797";"Tielt-Winge";"S";"1"
"IV2017020121010797";"Tielt-Winge";"STR";"5"
"IV2017020121221303";"Tielt-Winge";"K";"99"
"IV2017020121221303";"Tielt-Winge";"MO";"4"
"IV2017020121221303";"Tielt-Winge";"S";"1"
"IV2017020121221303";"Tielt-Winge";"STR";"5"
"IV2017020211023566";"Beringen (F)";"K";"85"
"IV2017020211023566";"Beringen (F)";"MO";"25"
"IV2017020211023566";"Beringen (F)";"S";"1"
"IV2017020211023566";"Beringen (F)";"STR";"2"
"IV2017020211373000";"Beringen (F)";"K";"85"
"IV2017020211373000";"Beringen (F)";"MO";"25"
"IV2017020211373000";"Beringen (F)";"STR";"2"
"IV2017020211533870";"Beringen (F)";"B";"2"
"IV2017020211533870";"Beringen (F)";"K";"50"
"IV2017020211533870";"Beringen (F)";"MO";"60"
"IV2017020211533870";"Beringen (F)";"S";"5"
"IV2017020212290721";"Beringen (F)";"K";"40"
"IV2017020212290721";"Beringen (F)";"MO";"80"
"IV2017020308164723";"Oostkamp";"K";"90"
"IV2017020308164723";"Oostkamp";"MO";"80"
"IV2017020308555607";"Oostkamp";"K";"90"
"IV2017020308555607";"Oostkamp";"MO";"80"
"IV2017020309175600";"Oostkamp";"K";"90"
"IV2017020309175600";"Oostkamp";"MO";"90"
"IV2017020309320429";"Oostkamp";"K";"90"
"IV2017020309320429";"Oostkamp";"MO";"90"
"IV2017020309560065";"Heusden (Destelbergen)";"K";"100"
"IV2017020309560065";"Heusden (Destelbergen)";"MO";"1"
"IV2017020309560065";"Heusden (Destelbergen)";"STR";"30"
"IV2017020310250354";"Heusden (Destelbergen)";"K";"100"
"IV2017020310250354";"Heusden (Destelbergen)";"MO";"1"
"IV2017020310250354";"Heusden (Destelbergen)";"STR";"30"
"IV2017020312255416";"Ursel";"K";"80"
"IV2017020312255416";"Ursel";"MO";"50"
"IV2017020312255416";"Ursel";"NB";"10"
"IV2017020313004098";"Ursel";"K";"80"
"IV2017020313004098";"Ursel";"MO";"50"
"IV2017020313004098";"Ursel";"NB";"10"
"IV2017020318100730";"Tielen";"K";"35"
"IV2017020318100730";"Tielen";"MO";"80"
"IV2017020318234508";"Tielen";"K";"35"
"IV2017020318234508";"Tielen";"MO";"80"
"IV2017020318315989";"Tielen";"K";"90"
"IV2017020318480754";"Tielen";"K";"90"
"IV2017020318560367";"Ravels (F)";"K";"50"
"IV2017020318560367";"Ravels (F)";"MO";"85"
"IV2017020319064156";"Ravels (F)";"K";"40"
"IV2017020319064156";"Ravels (F)";"MO";"95"
"IV2017020713102084";"Balen";"B";"1"
"IV2017020713102084";"Balen";"K";"90"
"IV2017020713102084";"Balen";"MO";"5"
"IV2017020713102084";"Balen";"NB";"30"
"IV2017020713102084";"Balen";"S";"9"
"IV2017020714540212";"Balen";"K";"90"
"IV2017020714540212";"Balen";"MO";"5"
"IV2017020714540212";"Balen";"NB";"30"
"IV2017020813265807";"Arendonk (F)";"K";"90"
"IV2017020813265807";"Arendonk (F)";"MO";"5"
"IV2017020813265807";"Arendonk (F)";"NB";"10"
"IV2017020813265807";"Arendonk (F)";"S";"25"
"IV2017020813570832";"Arendonk (F)";"K";"80"
"IV2017020813570832";"Arendonk (F)";"MO";"5"
"IV2017020813570832";"Arendonk (F)";"NB";"20"
"IV2017020813570832";"Arendonk (F)";"S";"10"
"IV2017020814143501";"Ten Aard";"K";"80"
"IV2017020814143501";"Ten Aard";"MO";"60"
"IV2017020814462786";"Ten Aard";"K";"80"
"IV2017020814462786";"Ten Aard";"MO";"60"
"IV2017020815060283";"Meeswijk";"K";"50"
"IV2017020815060283";"Meeswijk";"MO";"60"
"IV2017020815060283";"Meeswijk";"NB";"1"
"IV2017020815060283";"Meeswijk";"S";"4"
"IV2017020815451966";"Meeswijk";"K";"50"
"IV2017020815451966";"Meeswijk";"MO";"60"
"IV2017020815451966";"Meeswijk";"NB";"1"
"IV2017020911173410";"Meeswijk";"K";"60"
"IV2017020911173410";"Meeswijk";"MO";"60"
"IV2017020911173410";"Meeswijk";"NB";"1"
"IV2017020912043705";"Meeswijk";"K";"60"
"IV2017020912043705";"Meeswijk";"MO";"60"
"IV2017020912043705";"Meeswijk";"NB";"1"
"IV2017020914013322";"Maaseik (F)";"K";"95"
"IV2017020914013322";"Maaseik (F)";"MO";"1"
"IV2017020914013322";"Maaseik (F)";"NB";"5"
"IV2017020914342201";"Maaseik (F)";"K";"95"
"IV2017020914342201";"Maaseik (F)";"MO";"1"
"IV2017020914342201";"Maaseik (F)";"NB";"5"
"IV2017020915002276";"Maaseik (F)";"K";"80"
"IV2017020915002276";"Maaseik (F)";"MO";"5"
"IV2017020915002276";"Maaseik (F)";"NB";"20"
"IV2017020916182461";"Maaseik (F)";"K";"80"
"IV2017020916182461";"Maaseik (F)";"MO";"5"
"IV2017020916182461";"Maaseik (F)";"NB";"20"
"IV2017021009391220";"Rillaar";"K";"90"
"IV2017021009391220";"Rillaar";"MO";"50"
"IV2017021009570606";"Rillaar";"K";"90"
"IV2017021009570606";"Rillaar";"MO";"50"
"IV2017021011171644";"Rillaar";"K";"95"
"IV2017021011171644";"Rillaar";"MO";"30"
"IV2017021011372088";"Rillaar";"K";"95"
"IV2017021011372088";"Rillaar";"MO";"30"
"IV2017021012213856";"Wezemaal";"B";"2"
"IV2017021012213856";"Wezemaal";"K";"100"
"IV2017021012213856";"Wezemaal";"MO";"15"
"IV2017021012413096";"Wezemaal";"K";"100"
"IV2017021012413096";"Wezemaal";"MO";"15"
"IV2017021016462422";"Gelrode";"K";"90"
"IV2017021016462422";"Gelrode";"MO";"30"
"IV2017021016462422";"Gelrode";"STR";"1"
"IV2017021017031808";"Gelrode";"K";"90"
"IV2017021017031808";"Gelrode";"MO";"30"
"IV2017021017031808";"Gelrode";"STR";"1"
"IV2017021017175886";"Gelrode";"K";"70"
"IV2017021017175886";"Gelrode";"MO";"90"
"IV2017021017402906";"Gelrode";"K";"70"
"IV2017021017402906";"Gelrode";"MO";"90"
"IV2017021018002273";"Gelrode";"K";"100"
"IV2017021018002273";"Gelrode";"MO";"30"
"IV2017021018002273";"Gelrode";"STR";"40"
"IV2017021018144986";"Gelrode";"K";"100"
"IV2017021018144986";"Gelrode";"MO";"30"
"IV2017021018144986";"Gelrode";"STR";"40"
"IV2017021310384624";"Berg (Kampenhout)";"K";"90"
"IV2017021310384624";"Berg (Kampenhout)";"MO";"80"
"IV2017021311152342";"Berg (Kampenhout)";"K";"90"
"IV2017021311152342";"Berg (Kampenhout)";"MO";"80"
"IV2017021311505729";"Berg (Kampenhout)";"K";"70"
"IV2017021311505729";"Berg (Kampenhout)";"MO";"90"
"IV2017021312171588";"Berg (Kampenhout)";"K";"70"
"IV2017021312171588";"Berg (Kampenhout)";"MO";"90"
"IV2017021312415166";"Beernem (F)";"K";"85"
"IV2017021312415166";"Beernem (F)";"MO";"70"
"IV2017021312415166";"Beernem (F)";"NB";"1"
"IV2017021313081237";"Beernem (F)";"K";"85"
"IV2017021313081237";"Beernem (F)";"MO";"70"
"IV2017021313081237";"Beernem (F)";"NB";"1"
"IV2017021313300649";"Bierbeek (F)";"K";"100"
"IV2017021313300649";"Bierbeek (F)";"MO";"80"
"IV2017021314165316";"Bierbeek (F)";"K";"100"
"IV2017021314165316";"Bierbeek (F)";"MO";"80"
"IV2017021314354987";"Ravels (F)";"K";"50"
"IV2017021314354987";"Ravels (F)";"MO";"80"
"IV2017021314354987";"Ravels (F)";"S";"1"
"IV2017021314354987";"Ravels (F)";"STR";"2"
"IV2017021315595672";"Ravels (F)";"K";"50"
"IV2017021315595672";"Ravels (F)";"MO";"80"
"IV2017021315595672";"Ravels (F)";"STR";"2"
