fieldwork_team	point_code	segment_id	db_ref	measurement_date	recording_givid	user_reference
inbo	1047854_1	1_4_1088	NooMa_02	16604	IV2017010215025058	NooMa_02_20150618
inbo	63762_1	1_4_783	Dommel_05	16611	IV2017010315000010	Dommel_05_20150625
inbo	378102_1	1_4_1309	LoeNe_01	16622	IV2017010509365223	LoeNe_01_20150706
inbo	494838_1	1_4_853	DesNe_01	16622	IV2017010316171032	DesNe_01_20150706
inbo	391346_1	1_4_320	Berwijn_02	16629	IV2017010510562127	Berwijn_02_20150713
inbo	1150886_1	1_4_1690	WalBo_01	16675	IV2017010312332288	WalBo_01_20150828
inbo	483446_1	1_4_1172	SchNe_01	17017	IV2016120812572168	SchNe_01_20160804
inbo	1018130_1	1_4_1117	Dommel_10	17018	IV2016120813410051	Dommel_10_20160805
inbo	946450_1	1_4_95	Dommel_03	17018	IV2016120814151855	Dommel_03_20160805
inbo	678674_1	1_4_899	Dommel_08	17021	IV2016120814452463	Dommel_08_20160808
inbo	131970_2	1_4_31	Voer_08	17024	IV2016120916091640	Voer_08_20160811
inbo	485342_1	1_4_1143	AntGr_01	17031	IV2016121211363938	AntGr_01_20160818
inbo	2485086_1	1_4_806	GouLo_12	17032	IV2016121212251275	GouLo_12_20160819
inbo	1006710_1	1_4_1189	SchNe_02	17039	IV2016120809224601	SchNe_02_20160826
inbo	756982_1	1_4_851	DesNe_02	17039	IV2016120512445956	DesNe_02_20160826
inbo	434881_1	1_4_1464	ZilBe_01	17305	IV2017103112000007	ZilBe_01_20170519
inbo	1370998_1	1_4_1166	SchNe_03	17319	IV2017103112000011	SchNe_03_20170602
inbo	2133494_1	1_4_1393	GroNe_10	17319	IV2017103112000009	GroNe_10_20170602
inbo	2246930_1	1_4_1110	Dommel_09	17364	IV2017103112000027	Dommel_09_20170717
inbo	2369362_1	1_4_55	BosBe_02	17364	IV2017103112000025	BosBe_02_20170717
inbo	2291670_1	1_4_603	KleNe_03	17365	IV2017103112000030	KleNe_03_20170718
inbo	1497974_2	1_4_565	SchNe_04	17395	IV2017103112000033	SchNe_04_20170817
inbo	1596534_1	1_4_1198	SchNe_05	17395	IV2017103112000034	SchNe_05_20170817
inbo	1135858_1	1_4_1811	Maas_18	17399	IV2017103112000035	Maas_18_20170821
