fieldwork_team	point_code	type	measurement_date	db_ref	user_reference	recording_givid
inbo	500782_1	52	16582	500782	500782	circle: IV2017010910225147; square: IV2017010910241756
inbo	1618054_2	55	16583	1618054	1618054	circle: IV2017021016462422; square: IV2017021017031808
inbo	6152326_2	55	16583	6152326	6152326	circle: IV2017021017175886; square: IV2017021017402906
inbo	2468182_2	55	16584	2468182	2468182	circle: IV2017021009391220; square: IV2017021009570606
inbo	4042038_2	55	16584	4042038	4042038	circle: IV2017021011171644; square: IV2017021011372088
inbo	11366482_2	45	16589	11366482	11366482	circle: IV2017020914013322; square: IV2017020914342201
inbo	4501586_2	45	16589	4501586	4501586	circle: IV2017020915002276; square: IV2017020916182461
inbo	14029138_1	45	16590	14029138	14029138	circle: IV2017020815060283; square: IV2017020815451966
inbo	20320594_1	45	16590	20320594	20320594	circle: IV2017020911173410; square: IV2017020912043705
inbo	1156230_2	55	16595	1156230	1156230	circle: IV2017022212325377; square: IV2017022213011877
inbo	3741830_2	55	16595	3741830	3741830	circle: IV2017022211082902; square: IV2017022211385297
inbo	1022766_1	51	16596	1022766	1022766	circle: IV2017021314354987; square: IV2017021315595672
inbo	2438198_1	51	16597	2438198	2438198	circle: IV2017010911112595; square: IV2017010911343112
inbo	905382_1	55	16597	905382	905382	circle: IV2017022015155634; square: IV2017022015390187
inbo	2898758_1	55	16598	2898758	2898758	circle: IV2017021313300649; square: IV2017021314165316
inbo	4598982_1	55	16605	4598982	4598982	circle: IV2017021311505729; square: IV2017021312171588
inbo	4975814_2	55	16605	4975814	4975814	circle: IV2017021310384624; square: IV2017021311152342
inbo	3016210_1	55	16609	3016210	3016210	circle: IV2017021410455484; square: IV2017021411231990
inbo	4851218_2	55	16609	4851218	4851218	circle: IV2017021316470293; square: IV2017021317143301
inbo	1286278_2	55	16611	1286278	1286278	circle: IV2017021018002273; square: IV2017021018144986
inbo	544902_1	50	16611	544902	544902	circle: IV2017021012213856; square: IV2017021012413096
inbo	1388150_1	80	16615	1388150	1388150	circle: IV2017021513460105; square: IV2017021513582966
inbo	863862_2	80	16615	863862	863862	circle: IV2017020713102084; square: IV2017020714540212
inbo	3008870_2	55	16623	3008870	3008870	circle: IV2017022112283578; square: IV2017022112545290
inbo	4057446_2	55	16623	4057446	4057446	circle: IV2017022115074420; square: IV2017022115375527
inbo	1938478_2	51	16624	1938478	1938478	circle: IV2017021316192193; square: IV2017021316354132
inbo	17475649_1	55	16626	17475649	17475649	circle: IV2017010915000761; square: IV2017010916362743
inbo	2664513_1	55	16626	2664513	2664513	circle: IV2017010922050123; square: IV2017010922225486
inbo	9087041_1	55	16626	9087041	9087041	circle: IV2017021312415166; square: IV2017021313081237
inbo	311262_2	52	16644	311262	311262	circle: IV2017021510114273; square: IV2017021511162976
inbo	455349_2	10	16650	455349	455349	circle: IV2017010610523940; square: IV2017010612064228
inbo	437685_2	10	16653	437685	437685	circle: IV2017011212535658; square: IV2017011214394174
inbo	37557_2	10	16658	37557	37557	circle: IV2017011215162577; square: IV2017011215184680
inbo	798133_1	10	16658	798133	798133	circle: IV2017011215302636; square: IV2017011215475751
inbo	331445_2	4	16659	331445	331445	circle: IV2017010616530182; square: IV2017010617002129
inbo	736949_2	10	16659	736949	736949	circle: IV2017010617095027; square: IV2017010617191621
inbo	1195701_1	4	16660	1195701	1195701	circle: IV2017010618292802; square: IV2017010618363706
inbo	212661_2	10	16660	212661	212661	circle: IV2017010617282387; square: IV2017010617362713
inbo	409269_1	4	16661	409269	409269	circle: IV2017010618405531; square: IV2017010618503780
inbo	540341_1	10	16661	540341	540341	circle: IV2017010618124978; square: IV2017010618211064
inbo	1004470_1	80	16665	1004470	1004470	circle: IV2017022111173825; square: IV2017022111183354
inbo	414646_1	52	16665	414646	414646	circle: IV2017022013575286; square: IV2017022014150360
inbo	996278_1	80	16665	996278	996278	circle: IV2017022111070389; square: IV2017022111075784
inbo	695297_2	10	16666	695297	695297	circle: IV2017011215545335; square: IV2017011216070022
inbo	801793_2	10	16666	801793	801793	circle: IV2017010617430082; square: IV2017010618013747
