fieldwork_team	point_code	type	measurement_date	db_ref	survey	user_reference	recording_givid
anb	127218_2	63	16209	127218	anb_c1	NA	NA
anb	659794_2	63	16210	659794	anb_c1	NA	NA
anb	243846_2	63	16212	243846	anb_c1	NA	NA
anb	2867990_1	66	16212	2867990	anb_c1	NA	NA
anb	308098_2	65	16212	308098	anb_c1	NA	NA
anb	1569666_2	65	16213	1569666	anb_c1	NA	NA
anb	162790_2	63	16213	162790	anb_c1	NA	NA
anb	556006_2	63	16213	556006	anb_c1	NA	NA
anb	1280278_2	66	16217	1280278	anb_c1	NA	NA
anb	231702_1	66	16217	231702	anb_c1	NA	NA
anb	2328854_2	66	16217	2328854	anb_c1	NA	NA
anb	409654_2	63	16217	409654	anb_c1	NA	NA
anb	501046_2	63	16217	501046	anb_c1	NA	NA
anb	676914_2	63	16218	676914	anb_c1	NA	NA
anb	1152657_2	65	16220	1152657	anb_c1	NA	NA
anb	366225_2	64	16220	366225	anb_c1	NA	NA
anb	38545_2	64	16220	38545	anb_c1	NA	NA
anb	386674_2	63	16223	386674	anb_c1	NA	NA
anb	398529_3	63	16223	398529	anb_c1	NA	NA
anb	1487746_2	65	16224	1487746	anb_c1	NA	NA
anb	1618818_2	65	16224	1618818	anb_c1	NA	NA
anb	79986_2	63	16224	79986	anb_c1	NA	NA
anb	99521_2	63	16224	99521	anb_c1	NA	NA
anb	589698_4	65	16225	589698	anb_c1	NA	NA
anb	1007490_2	65	16226	1007490	anb_c1	NA	NA
anb	18546_2	63	16226	18546	anb_c1	NA	NA
anb	605493_2	63	16227	605493	anb_c1	NA	NA
anb	63270_2	63	16227	63270	anb_c1	NA	NA
anb	333385_2	63	16231	333385	anb_c1	NA	NA
anb	643970_2	63	16231	643970	anb_c1	NA	NA
anb	41814_2	63	16232	41814	anb_c1	NA	NA
anb	452066_2	63	16232	452066	anb_c1	NA	NA
anb	528582_1	63	16232	528582	anb_c1	NA	NA
anb	720369_2	64	16232	720369	anb_c1	NA	NA
anb	206134_2	63	16233	206134	anb_c1	NA	NA
anb	589110_2	63	16233	589110	anb_c1	NA	NA
anb	677174_2	63	16233	677174	anb_c1	NA	NA
anb	47446_2	63	16234	47446	anb_c1	NA	NA
anb	111326_1	38	16301	111326	anb_c1	NA	NA
anb	90846_1	24	16301	90846	anb_c1	NA	NA
anb	65522_1	38	16302	65522	anb_c1	NA	NA
anb	72690_1	39	16302	72690	anb_c1	NA	NA
anb	28658_1	39	16303	28658	anb_c1	NA	NA
anb	29406_1	26	16303	29406	anb_c1	NA	NA
anb	94942_1	38	16303	94942	anb_c1	NA	NA
anb	12274_1	39	16304	12274	anb_c1	NA	NA
anb	44626_1	39	16304	44626	anb_c1	NA	NA
anb	45790_1	24	16304	45790	anb_c1	NA	NA
anb	77394_1	39	16304	77394	anb_c1	NA	NA
anb	23538_1	38	16307	23538	anb_c1	NA	NA
anb	2610_1	39	16307	2610	anb_c1	NA	NA
anb	236370_1	26	16309	236370	anb_c1	NA	NA
anb	445266_1	26	16309	445266	anb_c1	NA	NA
anb	498514_1	24	16309	498514	anb_c1	NA	NA
anb	28370_1	24	16310	28370	anb_c1	NA	NA
anb	34514_1	24	16310	34514	anb_c1	NA	NA
anb	37330_1	39	16310	37330	anb_c1	NA	NA
anb	43858_1	26	16310	43858	anb_c1	NA	NA
anb	122578_1	38	16311	122578	anb_c1	NA	NA
anb	54994_1	39	16311	54994	anb_c1	NA	NA
anb	100050_1	38	16314	100050	anb_c1	NA	NA
anb	75474_1	39	16314	75474	anb_c1	NA	NA
anb	96978_1	24	16314	96978	anb_c1	NA	NA
anb	9938_1	39	16314	9938	anb_c1	NA	NA
anb	26322_1	39	16315	26322	anb_c1	NA	NA
anb	33718_2	26	16315	33718	anb_c1	NA	NA
anb	361398_1	26	16315	361398	anb_c1	NA	NA
anb	458462_1	24	16315	458462	anb_c1	NA	NA
anb	50102_1	39	16315	50102	anb_c1	NA	NA
anb	65234_1	38	16315	65234	anb_c1	NA	NA
anb	144094_1	24	16316	144094	anb_c1	NA	NA
anb	279478_1	39	16316	279478	anb_c1	NA	NA
anb	295862_1	26	16316	295862	anb_c1	NA	NA
anb	62174_1	24	16316	62174	anb_c1	NA	NA
anb	8893_1	24	16316	8893	anb_c1	NA	NA
anb	476086_1	24	16317	476086	anb_c1	NA	NA
anb	492470_1	39	16317	492470	anb_c1	NA	NA
anb	213942_1	26	16318	213942	anb_c1	NA	NA
anb	332726_1	39	16318	332726	anb_c1	NA	NA
anb	105682_1	24	16321	105682	anb_c1	NA	NA
anb	151250_1	24	16321	151250	anb_c1	NA	NA
anb	20178_1	24	16321	20178	anb_c1	NA	NA
anb	226230_1	26	16321	226230	anb_c1	NA	NA
anb	267190_1	39	16321	267190	anb_c1	NA	NA
anb	29622_1	24	16321	29622	anb_c1	NA	NA
anb	40146_1	39	16321	40146	anb_c1	NA	NA
anb	433362_1	24	16321	433362	anb_c1	NA	NA
anb	488374_1	39	16321	488374	anb_c1	NA	NA
anb	134098_1	24	16322	134098	anb_c1	NA	NA
anb	21430_1	39	16322	21430	anb_c1	NA	NA
anb	27602_1	39	16322	27602	anb_c1	NA	NA
anb	3026_1	39	16322	3026	anb_c1	NA	NA
anb	46006_1	39	16322	46006	anb_c1	NA	NA
anb	463798_1	24	16322	463798	anb_c1	NA	NA
anb	76242_1	38	16322	76242	anb_c1	NA	NA
anb	93138_1	24	16322	93138	anb_c1	NA	NA
anb	95158_1	24	16322	95158	anb_c1	NA	NA
anb	11218_1	38	16323	11218	anb_c1	NA	NA
anb	117202_1	24	16323	117202	anb_c1	NA	NA
anb	177078_1	26	16323	177078	anb_c1	NA	NA
anb	306130_1	24	16323	306130	anb_c1	NA	NA
anb	42934_1	39	16323	42934	anb_c1	NA	NA
anb	76754_1	24	16323	76754	anb_c1	NA	NA
anb	102098_1	24	16324	102098	anb_c1	NA	NA
anb	129234_1	38	16324	129234	anb_c1	NA	NA
anb	23762_1	24	16324	23762	anb_c1	NA	NA
anb	32466_1	24	16324	32466	anb_c1	NA	NA
anb	35794_1	24	16324	35794	anb_c1	NA	NA
anb	55058_1	26	16324	55058	anb_c1	NA	NA
anb	98002_1	24	16324	98002	anb_c1	NA	NA
anb	8786_1	39	16325	8786	anb_c1	NA	NA
anb	120018_1	38	16328	120018	anb_c1	NA	NA
anb	398546_1	24	16328	398546	anb_c1	NA	NA
anb	136402_1	39	16329	136402	anb_c1	NA	NA
anb	20406_1	39	16329	20406	anb_c1	NA	NA
anb	331702_1	24	16329	331702	anb_c1	NA	NA
anb	5330_1	24	16329	5330	anb_c1	NA	NA
anb	38098_1	24	16330	38098	anb_c1	NA	NA
anb	431314_1	26	16330	431314	anb_c1	NA	NA
anb	152786_1	24	16332	152786	anb_c1	NA	NA
anb	21714_1	26	16332	21714	anb_c1	NA	NA
anb	218322_1	39	16332	218322	anb_c1	NA	NA
anb	304338_1	24	16335	304338	anb_c1	NA	NA
anb	54482_1	39	16335	54482	anb_c1	NA	NA
anb	124278_1	24	16336	124278	anb_c1	NA	NA
anb	225910_1	26	16336	225910	anb_c1	NA	NA
anb	386422_1	26	16336	386422	anb_c1	NA	NA
anb	488054_1	24	16336	488054	anb_c1	NA	NA
anb	120110_1	38	16337	120110	anb_c1	NA	NA
anb	459222_1	24	16339	459222	anb_c1	NA	NA
anb	66006_1	24	16339	66006	anb_c1	NA	NA
anb	3894_2	92	16545	3894	anb_c1	NA	NA
anb	2198_1	98	16546	2198	anb_c1	NA	NA
anb	104342_2	103	16548	104342	anb_c1	NA	NA
anb	103609_2	103	16552	103609	anb_c1	NA	NA
anb	146265_2	103	16552	146265	anb_c1	NA	NA
anb	164793_2	103	16553	164793	anb_c1	NA	NA
anb	257081_2	103	16553	257081	anb_c1	NA	NA
anb	284729_2	103	16553	284729	anb_c1	NA	NA
anb	7145_1	98	16553	7145	anb_c1	NA	NA
anb	11865_2	103	16554	11865	anb_c1	NA	NA
anb	298937_2	103	16554	298937	anb_c1	NA	NA
anb	8121_2	103	16554	8121	anb_c1	NA	NA
anb	16633_1	103	16559	16633	anb_c1	NA	NA
anb	136697_1	103	16561	136697	anb_c1	NA	NA
anb	234297_1	103	16561	234297	anb_c1	NA	NA
anb	15782_1	103	16562	15782	anb_c1	NA	NA
anb	6278_1	98	16562	6278	anb_c1	NA	NA
anb	53561_2	103	16563	53561	anb_c1	NA	NA
anb	198137_1	103	16567	198137	anb_c1	NA	NA
anb	96217_2	103	16568	96217	anb_c1	NA	NA
anb	211193_1	103	16573	211193	anb_c1	NA	NA
anb	7785_1	99	16573	7785	anb_c1	NA	NA
anb	10354_1	98	16575	10354	anb_c1	NA	NA
anb	3970_1	98	16576	3970	anb_c1	NA	NA
anb	85890_2	103	16576	85890	anb_c1	NA	NA
anb	85529_1	106	16581	85529	anb_c1	NA	NA
inbo	500782_1	52	16582	500782	NA	500782	circle: IV2017010910225147; square: IV2017010910241756
inbo	1618054_2	55	16583	1618054	NA	1618054	circle: IV2017021016462422; square: IV2017021017031808
inbo	6152326_2	55	16583	6152326	NA	6152326	circle: IV2017021017175886; square: IV2017021017402906
anb	11126_1	92	16584	11126	anb_c1	NA	NA
inbo	2468182_2	55	16584	2468182	NA	2468182	circle: IV2017021009391220; square: IV2017021009570606
inbo	4042038_2	55	16584	4042038	NA	4042038	circle: IV2017021011171644; square: IV2017021011372088
anb	10706_1	24	16587	10706	anb_c1	NA	NA
anb	125394_1	24	16587	125394	anb_c1	NA	NA
anb	27090_1	24	16587	27090	anb_c1	NA	NA
anb	59858_1	24	16587	59858	anb_c1	NA	NA
anb	84946_1	24	16587	84946	anb_c1	NA	NA
anb	188022_1	106	16588	188022	anb_c1	NA	NA
anb	88274_1	99	16588	88274	anb_c1	NA	NA
inbo	11366482_2	45	16589	11366482	NA	11366482	circle: IV2017020914013322; square: IV2017020914342201
inbo	4501586_2	45	16589	4501586	NA	4501586	circle: IV2017020915002276; square: IV2017020916182461
inbo	14029138_1	45	16590	14029138	NA	14029138	circle: IV2017020815060283; square: IV2017020815451966
anb	155346_1	106	16590	155346	anb_c1	NA	NA
inbo	20320594_1	45	16590	20320594	NA	20320594	circle: IV2017020911173410; square: IV2017020912043705
inbo	1156230_2	55	16595	1156230	NA	1156230	circle: IV2017022212325377; square: IV2017022213011877
inbo	3741830_2	55	16595	3741830	NA	3741830	circle: IV2017022211082902; square: IV2017022211385297
inbo	1022766_1	51	16596	1022766	NA	1022766	circle: IV2017021314354987; square: IV2017021315595672
anb	147174_1	99	16596	147174	anb_c1	NA	NA
anb	12470_1	104	16597	12470	anb_c1	NA	NA
anb	140006_1	99	16597	140006	anb_c1	NA	NA
inbo	2438198_1	51	16597	2438198	NA	2438198	circle: IV2017010911112595; square: IV2017010911343112
inbo	905382_1	55	16597	905382	NA	905382	circle: IV2017022015155634; square: IV2017022015390187
inbo	2898758_1	55	16598	2898758	NA	2898758	circle: IV2017021313300649; square: IV2017021314165316
anb	159414_1	106	16604	159414	anb_c1	NA	NA
anb	2742_1	106	16604	2742	anb_c1	NA	NA
inbo	4598982_1	55	16605	4598982	NA	4598982	circle: IV2017021311505729; square: IV2017021312171588
inbo	4975814_2	55	16605	4975814	NA	4975814	circle: IV2017021310384624; square: IV2017021311152342
anb	230930_1	106	16608	230930	anb_c1	NA	NA
anb	115422_1	24	16609	115422	anb_c1	NA	NA
inbo	3016210_1	55	16609	3016210	NA	3016210	circle: IV2017021410455484; square: IV2017021411231990
inbo	4851218_2	55	16609	4851218	NA	4851218	circle: IV2017021316470293; square: IV2017021317143301
inbo	1286278_2	55	16611	1286278	NA	1286278	circle: IV2017021018002273; square: IV2017021018144986
anb	43566_1	39	16611	43566	anb_c1	NA	NA
inbo	544902_1	50	16611	544902	NA	544902	circle: IV2017021012213856; square: IV2017021012413096
anb	15070_1	38	16612	15070	anb_c1	NA	NA
inbo	1388150_1	80	16615	1388150	NA	1388150	circle: IV2017021513460105; square: IV2017021513582966
inbo	863862_2	80	16615	863862	NA	863862	circle: IV2017020713102084; square: IV2017020714540212
anb	23257_2	94	16621	23257	anb_c1	NA	NA
inbo	3008870_2	55	16623	3008870	NA	3008870	circle: IV2017022112283578; square: IV2017022112545290
inbo	4057446_2	55	16623	4057446	NA	4057446	circle: IV2017022115074420; square: IV2017022115375527
inbo	1938478_2	51	16624	1938478	NA	1938478	circle: IV2017021316192193; square: IV2017021316354132
inbo	17475649_1	55	16626	17475649	NA	17475649	circle: IV2017010915000761; square: IV2017010916362743
inbo	2664513_1	55	16626	2664513	NA	2664513	circle: IV2017010922050123; square: IV2017010922225486
inbo	9087041_1	55	16626	9087041	NA	9087041	circle: IV2017021312415166; square: IV2017021313081237
inbo	311262_2	52	16644	311262	NA	311262	circle: IV2017021510114273; square: IV2017021511162976
inbo	455349_2	10	16650	455349	NA	455349	circle: IV2017010610523940; square: IV2017010612064228
inbo	437685_2	10	16653	437685	NA	437685	circle: IV2017011212535658; square: IV2017011214394174
inbo	37557_2	10	16658	37557	NA	37557	circle: IV2017011215162577; square: IV2017011215184680
