"recording_givid";"survery";"classif";"classif_type";"classif_key";"classif_description";"cover"
"IV2017020309560065";"N2000meetnet_Grasland";"0";"BWK";"Ecotoop2001";"niet genoteerd";"5"
"IV2017021512174228";"N2000meetnet_Grasland";"0";"BWK";"Ecotoop2001";"niet genoteerd";"20"
"IV2017012713261758";"N2000meetnet_Grasland";"0";"BWK";"Ecotoop2001";"niet genoteerd";"25"
"IV2017020911173410";"N2000meetnet_Grasland";"0";"BWK";"Ecotoop2001";"niet genoteerd";"100"
"IV2017020914342201";"N2000meetnet_Grasland";"0";"BWK";"Ecotoop2001";"niet genoteerd";"100"
"IV2017020916182461";"N2000meetnet_Grasland";"0";"BWK";"Ecotoop2001";"niet genoteerd";"100"
"IV2017012017101191";"N2000meetnet_Grasland";"0";"BWK";"Ecotoop2001";"niet genoteerd";"30"
"IV2017012714260737";"N2000meetnet_Grasland";"0";"BWK";"Ecotoop2001";"niet genoteerd";"10"
"IV2017012713022515";"N2000meetnet_Grasland";"0";"BWK";"Ecotoop2001";"niet genoteerd";"25"
"IV2017012712420281";"N2000meetnet_Grasland";"0";"BWK";"Ecotoop2001";"niet genoteerd";"70"
"IV2017020312255416";"N2000meetnet_Grasland";"0";"BWK";"Ecotoop2001";"niet genoteerd";"50"
"IV2017021018002273";"N2000meetnet_Grasland";"aer";"BWK";"Ecotoop2001";"recente, eutrofe plas";"5"
"IV2017010617095027";"N2000meetnet_Grasland";"ah";"BWK";"Ecotoop2001";"min of meer brakke plas";"10"
"IV2017010617282387";"N2000meetnet_Grasland";"ah";"BWK";"Ecotoop2001";"min of meer brakke plas";"5"
"IV2017011215545335";"N2000meetnet_Grasland";"ah";"BWK";"Ecotoop2001";"min of meer brakke plas";"30"
"IV2017010618124978";"N2000meetnet_Grasland";"ah";"BWK";"Ecotoop2001";"min of meer brakke plas";"15"
"IV2017010618292802";"N2000meetnet_Grasland";"ah";"BWK";"Ecotoop2001";"min of meer brakke plas";"10"
"IV2017010612172361";"N2000meetnet_Grasland";"ah";"BWK";"Ecotoop2001";"min of meer brakke plas";"20"
"IV2017010613314127";"N2000meetnet_Grasland";"ah";"BWK";"Ecotoop2001";"min of meer brakke plas";"37"
"IV2017010910225147";"N2000meetnet_Grasland";"aom";"BWK";"Ecotoop2001";"mesotrofe plas, mesotroof ven";"20"
"IV2017010611111454";"N2000meetnet_Grasland";"aom";"BWK";"Ecotoop2001";"mesotrofe plas, mesotroof ven";"25"
"IV2017021312415166";"N2000meetnet_Grasland";"aom";"BWK";"Ecotoop2001";"mesotrofe plas, mesotroof ven";"10"
"IV2017021314354987";"N2000meetnet_Grasland";"aom";"BWK";"Ecotoop2001";"mesotrofe plas, mesotroof ven";"10"
"IV2017021314354987";"N2000meetnet_Grasland";"ce";"BWK";"Ecotoop2001";"vochtige tot natte dopheidevegetatie";"20"
"IV2017010616490548";"N2000meetnet_Grasland";"cg";"BWK";"Ecotoop2001";"droge struikheidevegetatie";"10"
"IV2017011817212208";"N2000meetnet_Grasland";"cg";"BWK";"Ecotoop2001";"droge struikheidevegetatie";"40"
"IV2017013011050597";"N2000meetnet_Grasland";"cg";"BWK";"Ecotoop2001";"droge struikheidevegetatie";"30"
"IV2017013013060304";"N2000meetnet_Grasland";"cg";"BWK";"Ecotoop2001";"droge struikheidevegetatie";"70"
"IV2017013013460448";"N2000meetnet_Grasland";"cg";"BWK";"Ecotoop2001";"droge struikheidevegetatie";"30"
"IV2017011816484258";"N2000meetnet_Grasland";"cg-";"BWK";"Ecotoop2001";"droge struikheidevegetatie";"70"
"IV2017010611111454";"N2000meetnet_Grasland";"cgb";"BWK";"Ecotoop2001";"droge struikheidevegetatie met struik- of boomopslag";"5"
"IV2017011212263384";"N2000meetnet_Grasland";"cgb";"BWK";"Ecotoop2001";"droge struikheidevegetatie met struik- of boomopslag";"10"
"IV2017010609200485";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"60"
"IV2017010609352959";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017010610523940";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"93"
"IV2017010612064228";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017010612172361";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"30"
"IV2017010612593713";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017011215545335";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"20"
"IV2017011216070022";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017011212535658";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"80"
"IV2017011214394174";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017011215162577";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"70"
"IV2017011215184680";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017011215302636";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017011215475751";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017010618124978";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"85"
"IV2017010618211064";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017010618292802";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"50"
"IV2017010618363706";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017010618405531";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"85"
"IV2017010618503780";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017010617095027";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"65"
"IV2017010617191621";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017010617282387";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"90"
"IV2017010617362713";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017010617430082";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"85"
"IV2017010618013747";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017010613314127";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"63"
"IV2017010613424129";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017010616345212";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"50"
"IV2017010616415877";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
"IV2017010616530182";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"70"
"IV2017010617002129";"N2000meetnet_Grasland";"da";"BWK";"Ecotoop2001";"schorre";"100"
