"recording_givid";"user_reference";"location_code";"latitude";"longitude";"area";"survey_id";"name";"needs_work";"description";"vague_date_type";"vague_date_begin";"vague_date_end";"ID"
"IV2013070909104301";"BV12/104";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ230"
"IV2013070909141149";"BV12/105";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ231"
"IV2013070909163239";"BV12/106";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ232"
"IV2013070909202401";"BV12/108";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ233"
"IV2013070909254090";"BV12/107";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ234"
"IV2013070909273869";"BV12/109";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ235"
"IV2013070909304619";"BV12/110";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-26";"2012-09-26";"ZSCPQ236"
"IV2013070909341303";"BV12/111";"Ketenissepolder N (NOP) (Schelde)";500;500;"4";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-28";"2012-09-28";"ZSCPQ224"
"IV2013070909483015";"BV12/114";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-28";"2012-09-28";"ZSCPQ237"
"IV2013070909572092";"BV12/113";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-28";"2012-09-28";"ZSCPQ238"
"IV2013070910004494";"BV12/112";"Ketenissepolder N (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-09-28";"2012-09-28";"ZSCPQ239"
"IV2013070910033601";"BV12/115";"Ketenissepolder N (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-03";"2012-10-03";"ZSCPQ229"
"IV2013070910074952";"BV12/116";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-03";"2012-10-03";"ZSCPQ240"
"IV2013070910125132";"BV12/117";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-03";"2012-10-03";"ZSCPQ241"
"IV2013070910180541";"BV12/119";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-03";"2012-10-03";"ZSCPQ242"
"IV2013070910213880";"BV12/120";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-03";"2012-10-03";"ZSCPQ243"
"IV2013070910265522";"BV12/121";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-03";"2012-10-03";"ZSCPQ244"
"IV2013070910322160";"BV12/118";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-02";"2012-10-02";"ZSCPQ245"
"IV2013070910360565";"BV12/123";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ247"
"IV2013070910395841";"BV12/124";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ248"
"IV2013070910420382";"BV12/127";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ249"
"IV2013070910441516";"BV12/128";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ250"
"IV2013070910465521";"BV12/129";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ251"
"IV2013070910491731";"BV12/126";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ252"
"IV2013070910520513";"BV12/125";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ253"
"IV2013070910553571";"BV12/130";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ254"
"IV2013070910591004";"BV12/131";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ255"
"IV2013070911053536";"BV12/132";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ256"
"IV2013070911081081";"BV12/133";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ257"
"IV2013070911110327";"BV12/134";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ258"
"IV2013070911132671";"BV12/135";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ259"
"IV2013070911181376";"BV12/141";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-10";"2012-10-10";"ZSCPQ273"
"IV2013070911203143";"BV12/142";"Paardeschor (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-10";"2012-10-10";"ZSCPQ302"
"IV2013070913454269";"BV12/122";"Ketenissepolder Z (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-10-08";"2012-10-08";"ZSCPQ246"
"IV2013070914091634";"BV12/003";"Paddebeek (NOP) (Schelde)";500;500;"4";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ260"
"IV2013070914483614";"BV12/004";"Paddebeek (NOP) (Schelde)";500;500;"4";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ261"
"IV2013070915001584";"BV12/005";"Paddebeek (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ262"
"IV2013070915132341";"BV12/006";"Paddebeek (NOP) (Schelde)";500;500;"8";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ263"
"IV2013070915261755";"BV12/007";"Paddebeek (NOP) (Schelde)";500;500;"8";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ268"
"IV2013070915330308";"BV12/008";"Paddebeek (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ267"
"IV2013070915552934";"BV12/009";"Paddebeek (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ266"
"IV2013070916144167";"BV12/010";"Paddebeek (NOP) (Schelde)";500;500;"4";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ269"
"IV2013070916324458";"BV12/011";"Paddebeek (NOP) (Schelde)";500;500;"4";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ270"
"IV2013070916471964";"BV12/012";"Paddebeek (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ271"
"IV2013071008525294";"BV12/013";"Paddebeek (NOP) (Schelde)";500;500;"8";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ272"
"IV2013071009144800";"BV12/015";"Paddebeek (NOP) (Schelde)";500;500;"4";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ265"
"IV2013071009451568";"BV12/016";"Paddebeek (NOP) (Schelde)";500;500;"4";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-16";"2012-08-16";"ZSCPQ264"
"IV2013071009494357";"BV12/017";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-22";"2012-08-22";"ZSCPQ286"
"IV2013071009551923";"BV12/018";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-22";"2012-08-22";"ZSCPQ287"
"IV2013071010013505";"BV12/019";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-22";"2012-08-22";"ZSCPQ289"
"IV2013071010194558";"BV12/020";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-22";"2012-08-22";"ZSCPQ288"
"IV2013071010285193";"BV12/021";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-22";"2012-08-22";"ZSCPQ290"
"IV2013071010382546";"BV12/022";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-22";"2012-08-22";"ZSCPQ291"
"IV2013071010463791";"BV12/023";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-22";"2012-08-22";"ZSCPQ292"
"IV2013071010533661";"BV12/024";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-22";"2012-08-22";"ZSCPQ293"
"IV2013071011023143";"BV12/025";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-22";"2012-08-22";"ZSCPQ294"
"IV2013071011202189";"BV12/026";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-22";"2012-08-22";"ZSCPQ295"
"IV2013071011522912";"BV12/028";"Heusden LO (NOP) (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-23";"2012-08-23";"ZSCPQ301"
"IV2013071012020294";"BV12/029";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-23";"2012-08-23";"ZSCPQ299"
"IV2013071012545945";"BV12/031";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-23";"2012-08-23";"ZSCPQ298"
"IV2013071013072883";"BV12/032";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-23";"2012-08-23";"ZSCPQ296"
"IV2013071013441062";"BV12/033";"Heusden LO (NOP) (Schelde)";500;500;"64";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-23";"2012-08-23";"ZSCPQ297"
"IV2013071013504000";"BV12/034";"Heusden LO (NOP) (Schelde)";500;500;"9";21;"Classic";0;"Londo (1) volledig";"D";"2012-08-23";"2012-08-23";"ZSCPQ300"
"IV2013101411571056";"WM13/001";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2013-10-07";"2013-10-07";"ZSCPQ303"
"IV2013101412094567";"WM13/002";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ304"
"IV2013101412124411";"WM13/003";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ305"
"IV2013101412215753";"WM13/004";"Potpolder Lillo (NOP) (Schelde)";500;500;NA;21;"Classic";0;"Londo (1) volledig";"D";"2013-10-07";"2013-10-07";"ZSCPQ306"
"IV2013101412250708";"WM13/005";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2013-10-07";"2013-10-07";"ZSCPQ307"
"IV2013101412274167";"WM13/006";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ308"
"IV2013101412284780";"WM13/007";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ309"
"IV2013101412325096";"WM13/008";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ310"
"IV2013101412334860";"WM13/009";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ311"
"IV2013101412352991";"WM13/010";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ312"
"IV2013101412401740";"WM13/011";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ313"
"IV2013101412450936";"WM13/012";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;"Londo (1) volledig";"D";"2013-10-07";"2013-10-07";"ZSCPQ314"
"IV2013101412473922";"WM13/013";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ315"
"IV2013101412493639";"WM13/014";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ316"
"IV2013101412510543";"WM13/015";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ317"
"IV2013101412524574";"WM13/016";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ318"
"IV2013101412551687";"WM13/017";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ319"
"IV2013101412563839";"WM13/018";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ320"
"IV2013101412583188";"WM13/019";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ321"
"IV2013101412593895";"WM13/020";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ322"
"IV2013101413012381";"WM13/021";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ323"
"IV2013101413021951";"WM13/022";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ324"
"IV2013101413532478";"WM13/023";"Potpolder Lillo (NOP) (Schelde)";500;500;"16";21;"Classic";0;NA;NA;NA;NA;"ZSCPQ325"
"IV2013112012335764";"BV13/062";"Scheldeschoor (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-09";"2013-09-09";"ZSCPQ042"
"IV2013112013391754";"BV13/061";"Brede Schoren (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-09";"2013-09-09";"ZSCPQ043"
"IV2013112014051359";"BV13/057";"Konkelschoor (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-09";"2013-09-09";"ZSCPQ044"
"IV2013112014075662";"BV13/055";"Konkelschoor (Schelde)";500;500;"40";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-09";"2013-09-09";"ZSCPQ052"
"IV2013112014180740";"BV13/056";"Konkelschoor (Schelde)";500;500;"99";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-09";"2013-09-09";"ZSCPQ053"
"IV2013112014252162";"BV13/058";"Brede Schoren (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-09";"2013-09-09";"ZSCPQ054"
"IV2013112014321005";"BV13/059";"Brede Schoren (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-09";"2013-09-09";"ZSCPQ055"
"IV2013112015024521";"BV13/060";"Brede Schoren (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-09";"2013-09-09";"ZSCPQ056"
"IV2013112015053253";"BV13/063";"Schor van Zele (Schelde)";500;500;"49";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-09";"2013-09-09";"ZSCPQ057"
"IV2013112015410875";"BV13/065";"Schor van Zele (Schelde)";500;500;"108";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-10";"2013-09-10";"ZSCPQ058"
"IV2013112015462691";"BV13/066";"Schor van Zele (Schelde)";500;500;"54";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-10";"2013-09-10";"ZSCPQ059"
"IV2013112016153156";"BV13/067";"Schor van Zele (Schelde)";500;500;"200";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-10";"2013-09-10";"ZSCPQ142"
"IV2013112016223231";"BV13/064";"Schor van Zele (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-10";"2013-09-10";"ZSCPQ145"
"IV2013112510294627";"BV13/071";"Nieuw schor van Appels (Schelde)";500;500;"50";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-12";"2013-09-12";"ZSCPQ040"
"IV2013112510363066";"BV13/072";"Nieuw schor van Appels (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-12";"2013-09-12";"ZSCPQ041"
"IV2013112510372455";"BV13/069";"Pottelbergschor (Schelde)";500;500;"70";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-12";"2013-09-12";"ZSCPQ062"
"IV2013112510405905";"BV13/070";"Pottelbergschor (Schelde)";500;500;"30";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-12";"2013-09-12";"ZSCPQ063"
"IV2013112510481962";"BV13/074";"Appelschor (Schelde)";500;500;"88";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-12";"2013-09-12";"ZSCPQ139"
"IV2013112510491349";"BV13/073";"Appelschor (Schelde)";500;500;"120";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-12";"2013-09-12";"ZSCPQ140"
"IV2013112511065032";"BV13/068";"Schor van Zele (Schelde)";500;500;"400";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-12";"2013-09-12";"ZSCPQ144"
"IV2013112511473957";"BV13/082";"Schor van Vlassenbroek O (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-13";"2013-09-13";"ZSCPQ035"
"IV2013112512071698";"BV13/077";"Schor van Vlassenbroek W (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-13";"2013-09-13";"ZSCPQ036"
"IV2013112512115854";"BV13/076";"Schor van Vlassenbroek W (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-13";"2013-09-13";"ZSCPQ037"
"IV2013112512142675";"BV13/075";"Schor van Vlassenbroek W (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-13";"2013-09-13";"ZSCPQ038"
"IV2013112512233871";"BV13/084";"Schor van Vlassenbroek O (Schelde)";500;500;"48";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-13";"2013-09-13";"ZSCPQ064"
"IV2013112512261571";"BV13/083";"Schor van Vlassenbroek O (Schelde)";500;500;"42";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-13";"2013-09-13";"ZSCPQ065"
"IV2013112512333257";"BV13/081";"Schor van Vlassenbroek O (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-13";"2013-09-13";"ZSCPQ066"
"IV2013112512441623";"BV13/078";"Schor van Vlassenbroek O (Schelde)";500;500;"24";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-13";"2013-09-13";"ZSCPQ067"
"IV2013112513461255";"BV13/079";"Schor van Vlassenbroek O (Schelde)";500;500;"70";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-13";"2013-09-13";"ZSCPQ068"
"IV2013112513515000";"BV13/080";"Schor van Vlassenbroek O (Schelde)";500;500;"70";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-13";"2013-09-13";"ZSCPQ069"
"IV2013112513523945";"BV13/086";"Groot Schoor van Grembergen (Schelde)";500;500;"60";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-16";"2013-09-16";"ZSCPQ060"
"IV2013112513553865";"BV13/087";"Groot Schoor van Grembergen (Schelde)";500;500;"225";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-16";"2013-09-16";"ZSCPQ146"
"IV2013112514102708";"BV13/088";"Groot Schoor van Grembergen (Schelde)";500;500;"225";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-16";"2013-09-16";"ZSCPQ147"
"IV2013112514145313";"BV13/085";"Groot Schoor van Grembergen (Schelde)";500;500;"63";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-16";"2013-09-16";"ZSCPQ148"
"IV2013112514191156";"BV13/090";"De Fles (Schelde)";500;500;"221";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-16";"2013-09-16";"ZSCPQ151"
"IV2013112514444162";"BV13/089";"De Fles (Schelde)";500;500;"130";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-16";"2013-09-16";"ZSCPQ152"
"IV2013112514541496";"BV13/091";"De Fles (Schelde)";500;500;"160";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-16";"2013-09-16";"ZSCPQ153"
"IV2013112609280574";"BV13/092";"Groot Schoor van Hamme (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-17";"2013-09-17";"ZSCPQ033"
"IV2013112609322182";"BV13/093";"Groot Schoor van Hamme (Schelde)";500;500;"40";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-17";"2013-09-17";"ZSCPQ110"
"IV2013112609331731";"BV13/094";"Groot Schoor van Hamme (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-17";"2013-09-17";"ZSCPQ111"
"IV2013112609404978";"BV13/096";"Groot Schoor van Hamme (Schelde)";500;500;"45";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-17";"2013-09-17";"ZSCPQ112"
"IV2013112609480584";"BV13/095";"Groot Schoor van Hamme (Schelde)";500;500;"200";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-17";"2013-09-17";"ZSCPQ154"
"IV2013112609491469";"BV13/097";"Groot Schoor van Hamme (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-17";"2013-09-17";"ZSCPQ156"
"IV2013112609561530";"BV13/104";"Schor bij Gespoelde put (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-18";"2013-09-18";"ZSCPQ030"
"IV2013112610013249";"BV13/103";"Schor bij Gespoelde put (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-18";"2013-09-18";"ZSCPQ031"
"IV2013112610022030";"BV13/105";"Bunt (Durme)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-18";"2013-09-18";"ZSCPQ046"
"IV2013112610235133";"BV13/101";"St-Amandsschoor (Schelde)";500;500;"100";21;"Classic";0;"Londo (1) volledig";"D";"2013-09-18";"2013-09-18";"ZSCPQ032"
