"recording_givid";"location_code";"layer_code";"cover_code"
"IV2013070515583172";"Paardeschor (NOP) (Schelde)";"STR";"25"
"IV2013070515583172";"Paardeschor (NOP) (Schelde)";"TOT";"99"
"IV2013070516010967";"Paardeschor (NOP) (Schelde)";"KH";"4"
"IV2013070516010967";"Paardeschor (NOP) (Schelde)";"STR";"1"
"IV2013070516010967";"Paardeschor (NOP) (Schelde)";"TOT";"4"
"IV2013070516102904";"Paardeschor (NOP) (Schelde)";"AL";"45"
"IV2013070516102904";"Paardeschor (NOP) (Schelde)";"KH";"1"
"IV2013070516102904";"Paardeschor (NOP) (Schelde)";"STR";"1"
"IV2013070516102904";"Paardeschor (NOP) (Schelde)";"TOT";"45"
"IV2013070516275106";"Ketenissepolder N (NOP) (Schelde)";"AL";"1"
"IV2013070516275106";"Ketenissepolder N (NOP) (Schelde)";"KH";"90"
"IV2013070516275106";"Ketenissepolder N (NOP) (Schelde)";"STR";"5"
"IV2013070516275106";"Ketenissepolder N (NOP) (Schelde)";"TOT";"95"
"IV2013070908524962";"Ketenissepolder N (NOP) (Schelde)";"AL";"3"
"IV2013070908524962";"Ketenissepolder N (NOP) (Schelde)";"TOT";"3"
"IV2013070908573073";"Ketenissepolder N (NOP) (Schelde)";"AL";"60"
"IV2013070908573073";"Ketenissepolder N (NOP) (Schelde)";"KH";"1"
"IV2013070908573073";"Ketenissepolder N (NOP) (Schelde)";"STR";"1"
"IV2013070908573073";"Ketenissepolder N (NOP) (Schelde)";"TOT";"60"
"IV2013070909002478";"Ketenissepolder N (NOP) (Schelde)";"AL";"20"
"IV2013070909002478";"Ketenissepolder N (NOP) (Schelde)";"STR";"1"
"IV2013070909002478";"Ketenissepolder N (NOP) (Schelde)";"TOT";"20"
"IV2013070909043060";"Ketenissepolder N (NOP) (Schelde)";"KH";"4"
"IV2013070909043060";"Ketenissepolder N (NOP) (Schelde)";"STR";"1"
"IV2013070909043060";"Ketenissepolder N (NOP) (Schelde)";"TOT";"4"
"IV2013070909072746";"Ketenissepolder N (NOP) (Schelde)";"AL";"15"
"IV2013070909072746";"Ketenissepolder N (NOP) (Schelde)";"STR";"1"
"IV2013070909072746";"Ketenissepolder N (NOP) (Schelde)";"TOT";"15"
"IV2013070909104301";"Ketenissepolder N (NOP) (Schelde)";"KH";"80"
"IV2013070909104301";"Ketenissepolder N (NOP) (Schelde)";"STR";"25"
"IV2013070909104301";"Ketenissepolder N (NOP) (Schelde)";"TOT";"90"
"IV2013070909141149";"Ketenissepolder N (NOP) (Schelde)";"AL";"25"
"IV2013070909141149";"Ketenissepolder N (NOP) (Schelde)";"STR";"1"
"IV2013070909141149";"Ketenissepolder N (NOP) (Schelde)";"TOT";"25"
"IV2013070909163239";"Ketenissepolder N (NOP) (Schelde)";"AL";"5"
"IV2013070909163239";"Ketenissepolder N (NOP) (Schelde)";"TOT";"5"
"IV2013070909202401";"Ketenissepolder N (NOP) (Schelde)";"KH";"95"
"IV2013070909202401";"Ketenissepolder N (NOP) (Schelde)";"STR";"80"
"IV2013070909202401";"Ketenissepolder N (NOP) (Schelde)";"TOT";"100"
"IV2013070909254090";"Ketenissepolder N (NOP) (Schelde)";"AL";"20"
"IV2013070909254090";"Ketenissepolder N (NOP) (Schelde)";"KH";"80"
"IV2013070909254090";"Ketenissepolder N (NOP) (Schelde)";"STR";"2"
"IV2013070909254090";"Ketenissepolder N (NOP) (Schelde)";"TOT";"95"
"IV2013070909273869";"Ketenissepolder N (NOP) (Schelde)";"AL";"50"
"IV2013070909273869";"Ketenissepolder N (NOP) (Schelde)";"STR";"1"
"IV2013070909273869";"Ketenissepolder N (NOP) (Schelde)";"TOT";"50"
"IV2013070909304619";"Ketenissepolder N (NOP) (Schelde)";"AL";"18"
"IV2013070909304619";"Ketenissepolder N (NOP) (Schelde)";"TOT";"18"
"IV2013070909341303";"Ketenissepolder N (NOP) (Schelde)";"AL";"1"
"IV2013070909341303";"Ketenissepolder N (NOP) (Schelde)";"STR";"1"
"IV2013070909341303";"Ketenissepolder N (NOP) (Schelde)";"TOT";"2"
"IV2013070909483015";"Ketenissepolder N (NOP) (Schelde)";"AL";"40"
"IV2013070909483015";"Ketenissepolder N (NOP) (Schelde)";"STR";"1"
"IV2013070909483015";"Ketenissepolder N (NOP) (Schelde)";"TOT";"40"
"IV2013070909572092";"Ketenissepolder N (NOP) (Schelde)";"AL";"28"
"IV2013070909572092";"Ketenissepolder N (NOP) (Schelde)";"STR";"1"
"IV2013070909572092";"Ketenissepolder N (NOP) (Schelde)";"TOT";"28"
"IV2013070910004494";"Ketenissepolder N (NOP) (Schelde)";"AL";"15"
"IV2013070910004494";"Ketenissepolder N (NOP) (Schelde)";"TOT";"15"
"IV2013070910033601";"Ketenissepolder N (NOP) (Schelde)";"AL";"4"
"IV2013070910033601";"Ketenissepolder N (NOP) (Schelde)";"TOT";"4"
"IV2013070910074952";"Ketenissepolder Z (NOP) (Schelde)";"KH";"95"
"IV2013070910074952";"Ketenissepolder Z (NOP) (Schelde)";"STR";"10"
"IV2013070910074952";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"99"
"IV2013070910125132";"Ketenissepolder Z (NOP) (Schelde)";"KH";"90"
"IV2013070910125132";"Ketenissepolder Z (NOP) (Schelde)";"STR";"10"
"IV2013070910125132";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"95"
"IV2013070910180541";"Ketenissepolder Z (NOP) (Schelde)";"AL";"90"
"IV2013070910180541";"Ketenissepolder Z (NOP) (Schelde)";"KH";"15"
"IV2013070910180541";"Ketenissepolder Z (NOP) (Schelde)";"STR";"1"
"IV2013070910180541";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"95"
"IV2013070910213880";"Ketenissepolder Z (NOP) (Schelde)";"AL";"90"
"IV2013070910213880";"Ketenissepolder Z (NOP) (Schelde)";"KH";"1"
"IV2013070910213880";"Ketenissepolder Z (NOP) (Schelde)";"STR";"1"
"IV2013070910213880";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"90"
"IV2013070910265522";"Ketenissepolder Z (NOP) (Schelde)";"AL";"90"
"IV2013070910265522";"Ketenissepolder Z (NOP) (Schelde)";"KH";"2"
"IV2013070910265522";"Ketenissepolder Z (NOP) (Schelde)";"STR";"1"
"IV2013070910265522";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"90"
"IV2013070910322160";"Ketenissepolder Z (NOP) (Schelde)";"KH";"70"
"IV2013070910322160";"Ketenissepolder Z (NOP) (Schelde)";"STR";"30"
"IV2013070910322160";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"95"
"IV2013070910360565";"Ketenissepolder Z (NOP) (Schelde)";"KH";"95"
"IV2013070910360565";"Ketenissepolder Z (NOP) (Schelde)";"STR";"50"
"IV2013070910360565";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"100"
"IV2013070910395841";"Ketenissepolder Z (NOP) (Schelde)";"AL";"40"
"IV2013070910395841";"Ketenissepolder Z (NOP) (Schelde)";"KH";"60"
"IV2013070910395841";"Ketenissepolder Z (NOP) (Schelde)";"STR";"5"
"IV2013070910395841";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"85"
"IV2013070910420382";"Ketenissepolder Z (NOP) (Schelde)";"AL";"55"
"IV2013070910420382";"Ketenissepolder Z (NOP) (Schelde)";"STR";"1"
"IV2013070910420382";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"55"
"IV2013070910441516";"Ketenissepolder Z (NOP) (Schelde)";"AL";"20"
"IV2013070910441516";"Ketenissepolder Z (NOP) (Schelde)";"STR";"1"
"IV2013070910441516";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"20"
"IV2013070910465521";"Ketenissepolder Z (NOP) (Schelde)";"AL";"37"
"IV2013070910465521";"Ketenissepolder Z (NOP) (Schelde)";"STR";"1"
"IV2013070910465521";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"38"
"IV2013070910491731";"Ketenissepolder Z (NOP) (Schelde)";"KH";"90"
"IV2013070910491731";"Ketenissepolder Z (NOP) (Schelde)";"STR";"80"
"IV2013070910491731";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"100"
"IV2013070910520513";"Ketenissepolder Z (NOP) (Schelde)";"KH";"80"
"IV2013070910520513";"Ketenissepolder Z (NOP) (Schelde)";"STR";"40"
"IV2013070910520513";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"99"
"IV2013070910553571";"Ketenissepolder Z (NOP) (Schelde)";"KH";"90"
"IV2013070910553571";"Ketenissepolder Z (NOP) (Schelde)";"STR";"70"
"IV2013070910553571";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"99"
"IV2013070910591004";"Ketenissepolder Z (NOP) (Schelde)";"AL";"5"
"IV2013070910591004";"Ketenissepolder Z (NOP) (Schelde)";"STR";"1"
"IV2013070910591004";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"5"
"IV2013070911053536";"Ketenissepolder Z (NOP) (Schelde)";"AL";"2"
"IV2013070911053536";"Ketenissepolder Z (NOP) (Schelde)";"KH";"85"
"IV2013070911053536";"Ketenissepolder Z (NOP) (Schelde)";"STR";"75"
"IV2013070911053536";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"99"
"IV2013070911081081";"Ketenissepolder Z (NOP) (Schelde)";"KH";"95"
"IV2013070911081081";"Ketenissepolder Z (NOP) (Schelde)";"STR";"60"
"IV2013070911081081";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"100"
"IV2013070911110327";"Ketenissepolder Z (NOP) (Schelde)";"AL";"1"
"IV2013070911110327";"Ketenissepolder Z (NOP) (Schelde)";"KH";"95"
"IV2013070911110327";"Ketenissepolder Z (NOP) (Schelde)";"STR";"3"
"IV2013070911110327";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"95"
"IV2013070911132671";"Ketenissepolder Z (NOP) (Schelde)";"AL";"35"
"IV2013070911132671";"Ketenissepolder Z (NOP) (Schelde)";"STR";"1"
"IV2013070911132671";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"35"
"IV2013070911181376";"Paardeschor (NOP) (Schelde)";"KH";"95"
"IV2013070911181376";"Paardeschor (NOP) (Schelde)";"STR";"20"
"IV2013070911181376";"Paardeschor (NOP) (Schelde)";"TOT";"99"
"IV2013070911203143";"Paardeschor (NOP) (Schelde)";"KH";"80"
"IV2013070911203143";"Paardeschor (NOP) (Schelde)";"STR";"90"
"IV2013070911203143";"Paardeschor (NOP) (Schelde)";"TOT";"100"
"IV2013070913454269";"Ketenissepolder Z (NOP) (Schelde)";"KH";"95"
"IV2013070913454269";"Ketenissepolder Z (NOP) (Schelde)";"STR";"80"
"IV2013070913454269";"Ketenissepolder Z (NOP) (Schelde)";"TOT";"100"
"IV2013070914091634";"Paddebeek (NOP) (Schelde)";"KH";"95"
"IV2013070914091634";"Paddebeek (NOP) (Schelde)";"MO";"20"
"IV2013070914091634";"Paddebeek (NOP) (Schelde)";"SH";"2"
"IV2013070914091634";"Paddebeek (NOP) (Schelde)";"STR";"60"
"IV2013070914091634";"Paddebeek (NOP) (Schelde)";"TOT";"100"
"IV2013070914483614";"Paddebeek (NOP) (Schelde)";"KH";"95"
"IV2013070914483614";"Paddebeek (NOP) (Schelde)";"MO";"1"
"IV2013070914483614";"Paddebeek (NOP) (Schelde)";"SH";"10"
"IV2013070914483614";"Paddebeek (NOP) (Schelde)";"STR";"60"
"IV2013070914483614";"Paddebeek (NOP) (Schelde)";"TOT";"100"
"IV2013070915001584";"Paddebeek (NOP) (Schelde)";"KH";"70"
"IV2013070915001584";"Paddebeek (NOP) (Schelde)";"STR";"90"
"IV2013070915001584";"Paddebeek (NOP) (Schelde)";"TOT";"100"
"IV2013070915132341";"Paddebeek (NOP) (Schelde)";"AL";"25"
"IV2013070915132341";"Paddebeek (NOP) (Schelde)";"KH";"45"
"IV2013070915132341";"Paddebeek (NOP) (Schelde)";"STR";"1"
"IV2013070915132341";"Paddebeek (NOP) (Schelde)";"TOT";"70"
"IV2013070915261755";"Paddebeek (NOP) (Schelde)";"KH";"80"
"IV2013070915261755";"Paddebeek (NOP) (Schelde)";"SH";"20"
"IV2013070915261755";"Paddebeek (NOP) (Schelde)";"STR";"50"
"IV2013070915261755";"Paddebeek (NOP) (Schelde)";"TOT";"100"
"IV2013070915330308";"Paddebeek (NOP) (Schelde)";"KH";"80"
"IV2013070915330308";"Paddebeek (NOP) (Schelde)";"SH";"4"
"IV2013070915330308";"Paddebeek (NOP) (Schelde)";"STR";"75"
"IV2013070915330308";"Paddebeek (NOP) (Schelde)";"TOT";"99"
"IV2013070915552934";"Paddebeek (NOP) (Schelde)";"KH";"60"
"IV2013070915552934";"Paddebeek (NOP) (Schelde)";"SH";"60"
"IV2013070915552934";"Paddebeek (NOP) (Schelde)";"STR";"50"
"IV2013070915552934";"Paddebeek (NOP) (Schelde)";"TOT";"99"
"IV2013070916144167";"Paddebeek (NOP) (Schelde)";"KH";"90"
"IV2013070916144167";"Paddebeek (NOP) (Schelde)";"MO";"7"
"IV2013070916144167";"Paddebeek (NOP) (Schelde)";"SH";"20"
"IV2013070916144167";"Paddebeek (NOP) (Schelde)";"STR";"80"
"IV2013070916144167";"Paddebeek (NOP) (Schelde)";"TOT";"100"
"IV2013070916324458";"Paddebeek (NOP) (Schelde)";"KH";"95"
"IV2013070916324458";"Paddebeek (NOP) (Schelde)";"MO";"7"
"IV2013070916324458";"Paddebeek (NOP) (Schelde)";"STR";"40"
"IV2013070916324458";"Paddebeek (NOP) (Schelde)";"TOT";"99"
"IV2013070916471964";"Paddebeek (NOP) (Schelde)";"KH";"65"
"IV2013070916471964";"Paddebeek (NOP) (Schelde)";"SH";"7"
"IV2013070916471964";"Paddebeek (NOP) (Schelde)";"STR";"95"
"IV2013070916471964";"Paddebeek (NOP) (Schelde)";"TOT";"100"
"IV2013071008525294";"Paddebeek (NOP) (Schelde)";"BH";"30"
"IV2013071008525294";"Paddebeek (NOP) (Schelde)";"KH";"7"
"IV2013071008525294";"Paddebeek (NOP) (Schelde)";"SH";"50"
"IV2013071008525294";"Paddebeek (NOP) (Schelde)";"STR";"10"
"IV2013071008525294";"Paddebeek (NOP) (Schelde)";"TOT";"95"
"IV2013071009032879";"Paddebeek (NOP) (Schelde)";"KH";"80"
"IV2013071009032879";"Paddebeek (NOP) (Schelde)";"SH";"1"
"IV2013071009032879";"Paddebeek (NOP) (Schelde)";"STR";"100"
"IV2013071009032879";"Paddebeek (NOP) (Schelde)";"TOT";"100"
"IV2013071009144800";"Paddebeek (NOP) (Schelde)";"KH";"15"
"IV2013071009144800";"Paddebeek (NOP) (Schelde)";"MO";"1"
"IV2013071009144800";"Paddebeek (NOP) (Schelde)";"SH";"75"
"IV2013071009144800";"Paddebeek (NOP) (Schelde)";"STR";"80"
"IV2013071009144800";"Paddebeek (NOP) (Schelde)";"TOT";"99"
"IV2013071009451568";"Paddebeek (NOP) (Schelde)";"KH";"95"
"IV2013071009451568";"Paddebeek (NOP) (Schelde)";"MO";"2"
"IV2013071009451568";"Paddebeek (NOP) (Schelde)";"SH";"2"
"IV2013071009451568";"Paddebeek (NOP) (Schelde)";"STR";"80"
"IV2013071009451568";"Paddebeek (NOP) (Schelde)";"TOT";"100"
"IV2013071009494357";"Heusden LO (NOP) (Schelde)";"KH";"90"
"IV2013071009494357";"Heusden LO (NOP) (Schelde)";"STR";"30"
"IV2013071009494357";"Heusden LO (NOP) (Schelde)";"TOT";"99"
"IV2013071009551923";"Heusden LO (NOP) (Schelde)";"KH";"85"
"IV2013071009551923";"Heusden LO (NOP) (Schelde)";"SH";"15"
"IV2013071009551923";"Heusden LO (NOP) (Schelde)";"STR";"50"
"IV2013071009551923";"Heusden LO (NOP) (Schelde)";"TOT";"95"
"IV2013071010013505";"Heusden LO (NOP) (Schelde)";"KH";"95"
"IV2013071010013505";"Heusden LO (NOP) (Schelde)";"STR";"60"
"IV2013071010013505";"Heusden LO (NOP) (Schelde)";"TOT";"99"
"IV2013071010194558";"Heusden LO (NOP) (Schelde)";"KH";"2"
"IV2013071010194558";"Heusden LO (NOP) (Schelde)";"SH";"65"
"IV2013071010194558";"Heusden LO (NOP) (Schelde)";"STR";"70"
"IV2013071010194558";"Heusden LO (NOP) (Schelde)";"TOT";"95"
"IV2013071010285193";"Heusden LO (NOP) (Schelde)";"KH";"75"
"IV2013071010285193";"Heusden LO (NOP) (Schelde)";"SH";"50"
"IV2013071010285193";"Heusden LO (NOP) (Schelde)";"STR";"15"
"IV2013071010285193";"Heusden LO (NOP) (Schelde)";"TOT";"75"
"IV2013071010382546";"Heusden LO (NOP) (Schelde)";"KH";"10"
"IV2013071010382546";"Heusden LO (NOP) (Schelde)";"SH";"75"
"IV2013071010382546";"Heusden LO (NOP) (Schelde)";"STR";"20"
"IV2013071010382546";"Heusden LO (NOP) (Schelde)";"TOT";"90"
"IV2013071010463791";"Heusden LO (NOP) (Schelde)";"KH";"85"
"IV2013071010463791";"Heusden LO (NOP) (Schelde)";"SH";"20"
"IV2013071010463791";"Heusden LO (NOP) (Schelde)";"TOT";"95"
"IV2013071010533661";"Heusden LO (NOP) (Schelde)";"KH";"1"
"IV2013071010533661";"Heusden LO (NOP) (Schelde)";"STR";"1"
"IV2013071010533661";"Heusden LO (NOP) (Schelde)";"TOT";"1"
"IV2013071011023143";"Heusden LO (NOP) (Schelde)";"KH";"90"
"IV2013071011023143";"Heusden LO (NOP) (Schelde)";"SH";"2"
"IV2013071011023143";"Heusden LO (NOP) (Schelde)";"STR";"30"
"IV2013071011023143";"Heusden LO (NOP) (Schelde)";"TOT";"95"
"IV2013071011202189";"Heusden LO (NOP) (Schelde)";"KH";"75"
"IV2013071011202189";"Heusden LO (NOP) (Schelde)";"SH";"40"
"IV2013071011202189";"Heusden LO (NOP) (Schelde)";"STR";"75"
"IV2013071011202189";"Heusden LO (NOP) (Schelde)";"TOT";"99"
"IV2013071011353079";"Heusden LO (NOP) (Schelde)";"KH";"90"
"IV2013071011353079";"Heusden LO (NOP) (Schelde)";"STR";"10"
"IV2013071011353079";"Heusden LO (NOP) (Schelde)";"TOT";"95"
"IV2013071011522912";"Heusden LO (NOP) (Schelde)";"AL";"3"
"IV2013071011522912";"Heusden LO (NOP) (Schelde)";"KH";"7"
"IV2013071011522912";"Heusden LO (NOP) (Schelde)";"SH";"30"
"IV2013071011522912";"Heusden LO (NOP) (Schelde)";"STR";"5"
"IV2013071011522912";"Heusden LO (NOP) (Schelde)";"TOT";"35"
"IV2013071012020294";"Heusden LO (NOP) (Schelde)";"KH";"70"
"IV2013071012020294";"Heusden LO (NOP) (Schelde)";"SH";"60"
"IV2013071012020294";"Heusden LO (NOP) (Schelde)";"STR";"75"
"IV2013071012020294";"Heusden LO (NOP) (Schelde)";"TOT";"99"
"IV2013071012400956";"Heusden LO (NOP) (Schelde)";"KH";"95"
"IV2013071012400956";"Heusden LO (NOP) (Schelde)";"STR";"75"
"IV2013071012400956";"Heusden LO (NOP) (Schelde)";"TOT";"99"
"IV2013071012545945";"Heusden LO (NOP) (Schelde)";"KH";"95"
"IV2013071012545945";"Heusden LO (NOP) (Schelde)";"STR";"80"
"IV2013071012545945";"Heusden LO (NOP) (Schelde)";"TOT";"100"
"IV2013071013072883";"Heusden LO (NOP) (Schelde)";"KH";"90"
"IV2013071013072883";"Heusden LO (NOP) (Schelde)";"MO";"1"
"IV2013071013072883";"Heusden LO (NOP) (Schelde)";"STR";"60"
"IV2013071013072883";"Heusden LO (NOP) (Schelde)";"TOT";"100"
"IV2013071013441062";"Heusden LO (NOP) (Schelde)";"BH";"1"
"IV2013071013441062";"Heusden LO (NOP) (Schelde)";"KH";"95"
"IV2013071013441062";"Heusden LO (NOP) (Schelde)";"STR";"50"
"IV2013071013441062";"Heusden LO (NOP) (Schelde)";"TOT";"100"
"IV2013071013504000";"Heusden LO (NOP) (Schelde)";"KH";"90"
"IV2013071013504000";"Heusden LO (NOP) (Schelde)";"SH";"10"
"IV2013071013504000";"Heusden LO (NOP) (Schelde)";"STR";"30"
"IV2013071013504000";"Heusden LO (NOP) (Schelde)";"TOT";"99"
"IV2013071013592480";"Bunt (Durme)";"KH";"95"
"IV2013071013592480";"Bunt (Durme)";"STR";"40"
"IV2013071013592480";"Bunt (Durme)";"TOT";"99"
"IV2013071014064798";"Bunt (Durme)";"KH";"95"
"IV2013071014064798";"Bunt (Durme)";"STR";"40"
"IV2013071014064798";"Bunt (Durme)";"TOT";"99"
"IV2013071014141859";"Bunt (Durme)";"KH";"99"
"IV2013071014141859";"Bunt (Durme)";"STR";"60"
"IV2013071014141859";"Bunt (Durme)";"TOT";"99"
"IV2013071014234988";"Bunt (Durme)";"BH";"70"
"IV2013071014234988";"Bunt (Durme)";"KH";"30"
"IV2013071014234988";"Bunt (Durme)";"MO";"1"
"IV2013071014234988";"Bunt (Durme)";"SH";"15"
"IV2013071014234988";"Bunt (Durme)";"STR";"70"
"IV2013071014234988";"Bunt (Durme)";"TOT";"99"
"IV2013071014342669";"Bunt (Durme)";"BH";"45"
"IV2013071014342669";"Bunt (Durme)";"KH";"60"
"IV2013071014342669";"Bunt (Durme)";"MO";"10"
"IV2013071014342669";"Bunt (Durme)";"SH";"15"
"IV2013071014342669";"Bunt (Durme)";"STR";"50"
"IV2013071014342669";"Bunt (Durme)";"TOT";"99"
"IV2013071014521991";"Bunt (Durme)";"KH";"60"
"IV2013071014521991";"Bunt (Durme)";"MO";"1"
"IV2013071014521991";"Bunt (Durme)";"SH";"65"
"IV2013071014521991";"Bunt (Durme)";"STR";"70"
"IV2013071014521991";"Bunt (Durme)";"TOT";"99"
"IV2013071015035913";"Mirabrug - Durmemonding (Durme5)";"BH";"65"
"IV2013071015035913";"Mirabrug - Durmemonding (Durme5)";"KH";"60"
"IV2013071015035913";"Mirabrug - Durmemonding (Durme5)";"MO";"1"
"IV2013071015035913";"Mirabrug - Durmemonding (Durme5)";"SH";"5"
"IV2013071015035913";"Mirabrug - Durmemonding (Durme5)";"STR";"70"
"IV2013071015035913";"Mirabrug - Durmemonding (Durme5)";"TOT";"99"
"IV2013071015123659";"Mirabrug - Durmemonding (Durme5)";"AL";"1"
"IV2013071015123659";"Mirabrug - Durmemonding (Durme5)";"BH";"45"
"IV2013071015123659";"Mirabrug - Durmemonding (Durme5)";"KH";"50"
"IV2013071015123659";"Mirabrug - Durmemonding (Durme5)";"MO";"1"
"IV2013071015123659";"Mirabrug - Durmemonding (Durme5)";"SH";"35"
"IV2013071015123659";"Mirabrug - Durmemonding (Durme5)";"STR";"45"
"IV2013071015123659";"Mirabrug - Durmemonding (Durme5)";"TOT";"95"
"IV2013071015181050";"Mirabrug - Durmemonding (Durme5)";"AL";"1"
"IV2013071015181050";"Mirabrug - Durmemonding (Durme5)";"KH";"65"
"IV2013071015181050";"Mirabrug - Durmemonding (Durme5)";"STR";"50"
"IV2013071015181050";"Mirabrug - Durmemonding (Durme5)";"TOT";"95"
"IV2013071015250236";"Mirabrug - Durmemonding (Durme5)";"KH";"25"
"IV2013071015250236";"Mirabrug - Durmemonding (Durme5)";"MO";"1"
"IV2013071015250236";"Mirabrug - Durmemonding (Durme5)";"SH";"65"
"IV2013071015250236";"Mirabrug - Durmemonding (Durme5)";"STR";"80"
"IV2013071015250236";"Mirabrug - Durmemonding (Durme5)";"TOT";"100"
"IV2013071015301671";"Mirabrug - Durmemonding (Durme5)";NA;NA
"IV2013071015342096";"Mirabrug - Durmemonding (Durme5)";"AL";"1"
"IV2013071015342096";"Mirabrug - Durmemonding (Durme5)";"KH";"15"
"IV2013071015342096";"Mirabrug - Durmemonding (Durme5)";"STR";"1"
"IV2013071015342096";"Mirabrug - Durmemonding (Durme5)";"TOT";"15"
"IV2013071015395190";"Mirabrug - Durmemonding (Durme5)";"AL";"8"
"IV2013071015395190";"Mirabrug - Durmemonding (Durme5)";"KH";"12"
"IV2013071015395190";"Mirabrug - Durmemonding (Durme5)";"STR";"1"
"IV2013071015395190";"Mirabrug - Durmemonding (Durme5)";"TOT";"20"
"IV2013071015425027";"Mirabrug - Durmemonding (Durme5)";"AL";"3"
"IV2013071015425027";"Mirabrug - Durmemonding (Durme5)";"KH";"20"
"IV2013071015425027";"Mirabrug - Durmemonding (Durme5)";"STR";"2"
"IV2013071015425027";"Mirabrug - Durmemonding (Durme5)";"TOT";NA
"IV2013071015490413";"Mirabrug - Durmemonding (Durme5)";"AL";"7"
"IV2013071015490413";"Mirabrug - Durmemonding (Durme5)";"KH";"55"
"IV2013071015490413";"Mirabrug - Durmemonding (Durme5)";"STR";"10"
"IV2013071015490413";"Mirabrug - Durmemonding (Durme5)";"TOT";"70"
"IV2013071015523476";"Mirabrug - Durmemonding (Durme5)";"AL";"1"
"IV2013071015523476";"Mirabrug - Durmemonding (Durme5)";"BH";"1"
"IV2013071015523476";"Mirabrug - Durmemonding (Durme5)";"KH";"35"
"IV2013071015523476";"Mirabrug - Durmemonding (Durme5)";"MO";"1"
"IV2013071015523476";"Mirabrug - Durmemonding (Durme5)";"SH";"50"
"IV2013071015523476";"Mirabrug - Durmemonding (Durme5)";"STR";"75"
"IV2013071016060814";"Mirabrug - Durmemonding (Durme5)";"BH";"30"
"IV2013071016060814";"Mirabrug - Durmemonding (Durme5)";"KH";"60"
"IV2013071016060814";"Mirabrug - Durmemonding (Durme5)";"MO";"2"
"IV2013071016060814";"Mirabrug - Durmemonding (Durme5)";"SH";"4"
"IV2013071016060814";"Mirabrug - Durmemonding (Durme5)";"STR";"70"
"IV2013071016060814";"Mirabrug - Durmemonding (Durme5)";"TOT";"100"
"IV2013071016223985";"Mirabrug - Durmemonding (Durme5)";"AL";"8"
